resource_id,resource_volume,topic_name,topic_type,topic_volume,document_mapped_probability
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,scheme,Relevant,435.79583740234375,0.0074779322713869716
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,converge,Marker,494.2204895019531,0.003965200528912361
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,count,Marker,503.5558776855469,0.0035968415182412892
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,play,Marker,449.36627197265625,0.003573538698836507
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,score,Generic,456.29754638671875,0.006748066949410479
An_Introduction_to_Statistical_Learning_chapter_1-introduction.txt,377.97772216796875,table,Generic,419.91754150390625,0.005586517424899508
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,scheme,Relevant,435.79583740234375,0.00028383897880002965
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,converge,Marker,494.2204895019531,0.00015050664114333754
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,count,Marker,503.5558776855469,0.00013652488233271997
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,play,Marker,449.36627197265625,0.00013564038001002266
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,score,Generic,456.29754638671875,0.00025613556826714195
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,80.7659683227539,table,Generic,419.91754150390625,0.00021204677220725145
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,scheme,Relevant,435.79583740234375,0.00015195081801139994
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,converge,Marker,494.2204895019531,8.057246870941735e-05
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,count,Marker,503.5558776855469,7.308745133268763e-05
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,play,Marker,449.36627197265625,7.261394042860026e-05
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,score,Generic,456.29754638671875,0.00013712002940733143
An_Introduction_to_Statistical_Learning_chapter_2-statistical-learning.txt,186.21786499023438,table,Generic,419.91754150390625,0.0001135174620123932
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,scheme,Relevant,435.79583740234375,0.00018677259546846155
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,converge,Marker,494.2204895019531,9.90368416643224e-05
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,count,Marker,503.5558776855469,8.983652184456689e-05
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,play,Marker,449.36627197265625,8.925449891309192e-05
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,score,Generic,456.29754638671875,0.00016854311229306897
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,60.957672119140625,table,Generic,419.91754150390625,0.00013953166747319857
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,scheme,Relevant,435.79583740234375,0.005757213530934449
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,converge,Marker,494.2204895019531,0.0030527832172634207
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,count,Marker,503.5558776855469,0.002769185906735255
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,play,Marker,449.36627197265625,0.0027512452110566555
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,score,Generic,456.29754638671875,0.005195294760484883
An_Introduction_to_Statistical_Learning_chapter_4-classification.txt,133.16847229003906,table,Generic,419.91754150390625,0.004301025008276402
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,scheme,Relevant,435.79583740234375,0.0002538659789185371
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,converge,Marker,494.2204895019531,0.0001346133499673878
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,count,Marker,503.5558776855469,0.0001221080453666374
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,play,Marker,449.36627197265625,0.00012131694525432524
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,score,Generic,456.29754638671875,0.0002290880098600009
An_Introduction_to_Statistical_Learning_chapter_5-resampling-methods.txt,193.88226318359375,table,Generic,419.91754150390625,0.00018965492910977285
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,scheme,Relevant,435.79583740234375,0.0002043646456533055
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,converge,Marker,494.2204895019531,0.00010836508965668592
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,count,Marker,503.5558776855469,9.829819469736138e-05
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,play,Marker,449.36627197265625,9.766135121475815e-05
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,score,Generic,456.29754638671875,0.00018441813337061313
