topic_cluster_id,topic_name,topic_cluster_probability,topic_type,topic_volume,X
2,network,0.03586835197552316,Relevant,305.59637451171875,14.894873287276052
8,deep,0.02724732596464998,Relevant,204.4465789794922,0.06547219174174303
4,observation,0.019366702783257493,Relevant,435.39227294921875,33.92403126388984
7,risk,0.016005866666764193,Relevant,423.33343505859375,32.15610535869974
6,gradient,0.02131594317980565,Relevant,295.023193359375,13.344757013300054
3,yes,0.01870807447208712,Relevant,287.1838073730469,12.195437842437943
5,convex,0.016086098248211885,Relevant,357.37152099609375,22.485540277326653
1,norm,0.017245565959272523,Relevant,352.723388671875,21.804085428918217
1,core,0.018497865962658382,Relevant,277.53509521484375,10.780856410053678
7,graph,0.013903704598012292,Relevant,317.4449768066406,16.631976906006393
5,convergence,0.013114981049324988,Relevant,506.7873229980469,44.39113925791934
6,year,0.01205350474904649,Relevant,461.9463806152344,37.81708424774771
9,cluster,0.01834863783379276,Relevant,334.5222473144531,19.135646761637545
4,validation,0.016826508208619088,Relevant,330.76727294921875,18.585136296712594
8,dataset,0.01724729294433696,Relevant,391.06024169921875,27.424586857434694
7,download,0.015352148557099784,Relevant,614.8405151367188,60.23263569838108
3,hypothesis,0.017689216671728947,Relevant,414.72607421875,30.894194688525708
5,theory,0.010759135569854306,Relevant,436.8550720214844,34.1384897712023
4,plot,0.011136804411402905,Relevant,368.25872802734375,24.081695356306412
8,exercise,0.010170130591802641,Relevant,623.885498046875,61.55870540293353
9,prefer,0.007701040995692421,Relevant,631.9490356445312,62.74088706385906
9,unsupervised,0.00849565926479771,Relevant,463.71734619140625,38.07672252696766
0,scheme,0.01239577075291686,Relevant,435.79583740234375,33.983197168396124
5,uniform,0.009493953082666108,Marker,501.4620361328125,43.610407923191325
8,connect,0.0076994988502700375,Marker,459.59100341796875,37.47176636543524
7,free,0.008305809289527847,Marker,483.76263427734375,41.01552843891035
7,direct,0.007537986186344143,Marker,441.2236328125,34.77895710817833
5,exp,0.010439066988619197,Marker,371.29949951171875,24.5274977402301
9,care,0.0054284577142152506,Marker,531.8660888671875,48.067894866743025
4,sampling,0.009903172564158989,Marker,451.9536437988281,36.352065939871956
4,challenge,0.007513906359793109,Marker,617.9024658203125,60.68154312901736
4,factor,0.009451327105282578,Marker,463.4036865234375,38.030737411532414
8,source,0.00836164537805307,Marker,660.6829223632812,66.95351378192525
9,underlie,0.006040913717391312,Marker,560.1031494140625,52.2076827368538
7,smooth,0.006495148457771808,Marker,530.743896484375,47.90337213228255
5,means,0.007792450078482939,Marker,479.9252014160156,40.45292887280754
9,supervised,0.006227376132594652,Marker,445.918212890625,35.46722158352708
6,direction,0.011664560997343879,Marker,405.56787109375,29.55152595903993
3,coefficient,0.00917750420193837,Marker,456.2379455566406,36.98018020195825
3,future,0.0052706571724892015,Marker,610.0772705078125,59.53430442893531
6,normal,0.008388445954980676,Marker,405.7912292480469,29.584272121704903
6,logistic,0.01060001571272967,Marker,401.2587585449219,28.919774228686574
2,gaussian,0.008217412967508985,Marker,462.0454406738281,37.83160727603169
1,regularization,0.01008304492292999,Marker,435.6249084472656,33.95813756229058
2,experiment,0.007646556445721666,Marker,584.6845703125,55.8115234375
2,expectation,0.007476429739869873,Marker,479.19244384765625,40.345500520334724
1,index,0.007777656954794719,Marker,524.1317749023438,46.93398012791473
1,reduction,0.006587376097961117,Marker,422.81695556640625,32.08038517056722
0,converge,0.006572902102070775,Marker,494.2204895019531,42.548736972934044
0,count,0.005962292954336014,Marker,503.5558776855469,43.91738250532087
0,play,0.005923665109531433,Marker,449.36627197265625,35.97273571590365
4,variance,0.012454164352808656,Generic,380.7767028808594,25.916934558025332
2,learner,0.012001784543603684,Generic,393.7691345214844,27.821733069889394
4,cross,0.011659895332051293,Generic,261.54229736328125,8.436179263325696
7,theorem,0.011270123477850917,Generic,399.2671203613281,28.627783510304123
0,score,0.011185911812853683,Generic,456.29754638671875,36.988918179234474
7,library,0.010662739661472749,Generic,451.11212158203125,36.22869178554944
6,support,0.010123459766919815,Generic,380.4560241699219,25.869920392526836
6,derivative,0.009980720369828085,Generic,439.5079040527344,34.527417005543114
8,noise,0.009939884721610028,Generic,515.1987915039062,45.62433048306722
2,image,0.009392911690470232,Generic,428.599609375,32.92817030224289
0,table,0.0092604729212646,Generic,419.91754150390625,31.655306960091288
3,split,0.008490564577108799,Generic,381.6016845703125,26.037883733503143
9,option,0.008173157054155526,Generic,427.2958984375,32.73703543832057
1,code,0.007825247051259997,Generic,441.0523986816406,34.75385276076569
5,proof,0.007690263461731333,Generic,427.4974365234375,32.766582597528036
5,text,0.0076687609353676325,Generic,512.1763916015625,45.18122152583082
