resource_id,X,Y,norm_X,norm_Y
Understanding_Machine_Learning_chapter_3-a-formal-learning-model.txt,395.0441005885273,352.9267883300779,28.008653696786272,3.3426948316169485
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,395.14077578229205,131.33532714843747,28.022827084055944,1.1043972439236107
An_Introduction_to_Statistical_Learning_chapter_3-linear-regression.txt,395.2620387308374,60.95767211914066,28.04060524062605,0.3935118395872794
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_7-data-transformations.txt,407.1662612122968,147.95887756347656,29.785863241190118,1.2723118945805714
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_11-the-explorer.txt,407.99411817149377,89.63247680664064,29.907233955120528,0.6831563313802085
A_Course_in_Machine_Learning_ciml-v0_99-ch18-imitation-learning.txt,407.9949614032025,347.55950927734386,29.907357579900587,3.288479891690342
A_Course_in_Machine_Learning_ciml-v0_99-ch04-perceptron.txt,408.0026410232003,303.49298095703136,29.908483476049057,2.843363444010418
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_2-input-concepts-instances-attributes.txt,408.025545990986,228.9025115966796,29.911841534783505,2.08992435956242
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_5-credibility-evaluting-whats-been-learned.txt,408.0422143040314,193.92233276367176,29.914285248074624,1.7365892198350683
A_Course_in_Machine_Learning_ciml-v0_99-ch11-kernel-methods.txt,408.06179082298553,417.93954467773426,29.917155328533983,3.999389340179134
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_4-algorithms-basic-methods.txt,408.25383403349787,138.48469543457037,29.945310460053296,1.1766130851976806
A_Course_in_Machine_Learning_ciml-v0_99-ch03-geometry-and-nearest-neighbors.txt,408.25402647622474,365.22808837890636,29.945338673757234,3.466950387665721
Understanding_Machine_Learning_chapter_7-nonuniform-learnability.txt,408.41318415071976,260.0879516601564,29.96867251224994,2.4049288046480446
A_Course_in_Machine_Learning_ciml-v0_99-ch17-structured-prediction.txt,408.56045793662946,254.24659729003892,29.990264073860335,2.3459252251519085
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,398.87287996763484,401.43292236328125,28.569984590440992,3.8326557814472855
Understanding_Machine_Learning_chapter_22-clustering.txt,408.94932993056534,279.6060791015624,30.047275941680255,2.6020816070864887
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_6-implementations-real-machine-learning-schemas.txt,413.1648418964515,131.94372558593756,30.665305048276256,1.110542682686238
A_Course_in_Machine_Learning_ciml-v0_99-ch02-limits-of-learning.txt,399.32958866315846,469.1295166015625,28.63694188278253,4.516459763652146
A_Course_in_Machine_Learning_ciml-v0_99-ch09-probabilistic-modeling.txt,411.64400212444195,456.8680419921875,30.4423372917672,4.392606484769571
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_1-whats-it-all-about.txt,414.0698766618625,158.25579833984375,30.797990670338702,1.376321195351957
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_10-introduction-to-weka.txt,398.19679411077374,478.81802368164017,28.47086478210468,4.614323471531719
A_Course_in_Machine_Learning_ciml-v0_99-ch06-beyond-binary-classification.txt,415.6273447726774,369.88977050781256,31.02632844588487,3.5140380859375004
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_3-output-knowledge-representation.txt,404.0292882939109,263.96981811523443,29.32595692711604,2.4441395769215597
Understanding_Machine_Learning_chapter_17-multiclass-ranking-complex-prediction-problems.txt,402.042445116468,290.78765869140614,29.034669196506247,2.7150268554687487
A_Course_in_Machine_Learning_ciml-v0_99-ch08-bias-and-fairness.txt,402.0726011024277,356.8442382812501,29.039090314797935,3.3822650331439403
Understanding_Machine_Learning_chapter_1-introduction.txt,402.1100772740891,368.55773925781267,29.044584633181554,3.5005832248263906
A_Course_in_Machine_Learning_ciml-v0_99-ch12-learning-theory.txt,404.4167480551506,437.86254882812494,29.382761749879847,4.200631806344696
Understanding_Machine_Learning_chapter_15-support-vector-machines.txt,402.3001044766881,357.73776245117165,29.072444201177465,3.391290529809815
A_Course_in_Machine_Learning_ciml-v0_99-ch07-linear-models.txt,402.3007760314821,345.7173461914058,29.07254265669431,3.269872183751574
Understanding_Machine_Learning_chapter_16-kernel-methods.txt,402.3020202649466,323.95404052734375,29.072725071666127,3.0500408134075125
Understanding_Machine_Learning_chapter_23-dimensionality-reduction.txt,402.45900865691385,272.44961547851585,29.095740875302468,2.5297940957425844
Deep_Learning_[6]part-1-chapter-2.txt,402.4954513712969,261.84271240234375,29.10108368025578,2.422653660629735
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_15-embedded-machine-learning.txt,402.620674254134,358.3349609375001,29.119442396120295,3.3973228377525264
Data_Mining_Practical_Machine_Learning_Tools_and_Techniques_chapter_16-writing-new-learning-schemes.txt,402.63734281339083,200.7150878906251,29.121886145508064,1.8052029079861123
Understanding_Machine_Learning_chapter_21-online-learning.txt,402.6470113464489,276.0679321289063,29.12330363284918,2.5663427487768313
A_Course_in_Machine_Learning_ciml-v0_99-ch15-unsupervised-learning.txt,419.17944322637766,470.4978027343746,31.547095615245738,4.530280835700753
Understanding_Machine_Learning_chapter_14-stochastic-gradient-descent.txt,402.87877363022176,325.35659790039085,29.157281910776494,3.0642080595999075
An_Introduction_to_Statistical_Learning_chapter_10-unsupervised-learning.txt,406.8033425968062,80.76596832275389,29.732656354455173,0.5935956396237767
